SAMPLE	Subsample	Species	Type
M1_1	1	mixed	M_1
M1_3	3	mixed	M_3
M1_6	6	mixed	M_6
M1_10	10	mixed	M_10
M1_15	15	mixed	M_15
M1_20	20	mixed	M_20
M2_1	1	mixed	M_1
M2_3	3	mixed	M_3
M2_6	6	mixed	M_6
M2_10	10	mixed	M_10
M2_15	15	mixed	M_15
M2_20	20	mixed	M_20
M3_1	1	mixed	M_1
M3_3	3	mixed	M_3
M3_6	6	mixed	M_6
M3_10	10	mixed	M_10
M3_15	15	mixed	M_15
M3_20	20	mixed	M_20
R1_1	1	Quercus_r	S2_1
R1_3	3	Quercus_r	S2_3
R1_6	6	Quercus_r	S2_6
R1_10	10	Quercus_r	S2_10
R1_15	15	Quercus_r	S2_15
R1_20	20	Quercus_r	S2_20
R2_1	1	Quercus_r	S2_1
R2_3	3	Quercus_r	S2_3
R2_6	6	Quercus_r	S2_6
R2_10	10	Quercus_r	S2_10
R2_15	15	Quercus_r	S2_15
R2_20	20	Quercus_r	S2_20
R3_1	1	Quercus_r	S2_1
R3_3	3	Quercus_r	S2_3
R3_6	6	Quercus_r	S2_6
R3_15	15	Quercus_r	S2_15
R3_20	20	Quercus_r	S2_20
S1_1	1	Pinus_s	S1_1
S1_3	3	Pinus_s	S1_3
S1_6	6	Pinus_s	S1_6
S1_10	10	Pinus_s	S1_10
S1_15	15	Pinus_s	S1_15
S1_20	20	Pinus_s	S1_20
S2_1	1	Pinus_s	S1_1
S2_3	3	Pinus_s	S1_3
S2_6	6	Pinus_s	S1_6
S2_10	10	Pinus_s	S1_10
S2_15	15	Pinus_s	S1_15
S2_20	20	Pinus_s	S1_20
S3_1	1	Pinus_s	S1_1
S3_3	3	Pinus_s	S1_3
S3_6	6	Pinus_s	S1_6
S3_10	10	Pinus_s	S1_10
S3_15	15	Pinus_s	S1_15
S3_20	20	Pinus_s	S1_20
